2022-03-24 15:01:08.3450|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:01:51.0674|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:01:53.8589|Info|Запрос на добавление Transfer | 
2022-03-24 15:01:54.0430|Info|Запрос на проверку валюты | 
2022-03-24 15:01:54.1516|Info|Запрос на проверку валюты | 
2022-03-24 15:01:54.1929|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:01:54.2194|Info|Валюта конвертирована | 
2022-03-24 15:01:54.2755|Info|Подключение к базе данных. | 
2022-03-24 15:01:54.2794|Info|Подключение произведено. | 
2022-03-24 15:01:56.3288|Debug|Exception: Unable to cast object of type 'System.Int32' to type 'System.Int64'. | 
2022-03-24 15:02:02.3238|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:02:06.7239|Info|Запрос на добавление Transfer | 
2022-03-24 15:02:07.6111|Info|Запрос на проверку валюты | 
2022-03-24 15:02:08.2694|Info|Запрос на проверку валюты | 
2022-03-24 15:02:09.0557|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:02:09.0557|Info|Валюта конвертирована | 
2022-03-24 15:02:11.1006|Info|Подключение к базе данных. | 
2022-03-24 15:02:11.1234|Info|Подключение произведено. | 
2022-03-24 15:02:11.7245|Debug|Exception: Unable to cast object of type 'System.Int32' to type 'System.Int64'. | 
2022-03-24 15:02:43.9808|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:02:49.2317|Info|Запрос на добавление Transfer | 
2022-03-24 15:02:54.5798|Info|Запрос на проверку валюты | 
2022-03-24 15:02:58.6546|Info|Запрос на проверку валюты | 
2022-03-24 15:03:04.4351|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:03:14.5133|Info|Валюта конвертирована | 
2022-03-24 15:03:23.3448|Info|Подключение к базе данных. | 
2022-03-24 15:03:24.8146|Info|Подключение произведено. | 
2022-03-24 15:04:38.8649|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:04:38.9876|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:05:11.7633|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:05:11.8300|Info|Запрос на добавление Transfer | 
2022-03-24 15:05:11.8300|Info|Запрос на проверку валюты | 
2022-03-24 15:05:11.8428|Info|Запрос на проверку валюты | 
2022-03-24 15:05:11.8428|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:05:11.8749|Info|Валюта конвертирована | 
2022-03-24 15:05:11.9038|Info|Подключение к базе данных. | 
2022-03-24 15:05:11.9038|Info|Подключение произведено. | 
2022-03-24 15:05:14.2276|Debug|Exception: Unable to cast object of type 'System.Int32' to type 'System.Int64'. | 
2022-03-24 15:08:56.8632|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
